year,holdnum,slavenum,sizehold,statefip,stateicp,countyicp,county,urban,city,citypop,metro,metarea,mdstatus,metdist,urbarea,age,gender,norm_race,histid_slave,histid,linkpop,version
1850.0,308249.0,4.0,14.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,50.0,F,B,c63db055-4057-4347-8257-fcb737bec540,26131b2f-5b87-405f-9da9-37d02ecdcbdb,1.0,1.0
1850.0,308249.0,5.0,14.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,40.0,M,B,042c55d3-67bd-4c69-87f6-c0440934f906,26131b2f-5b87-405f-9da9-37d02ecdcbdb,1.0,1.0
1850.0,308249.0,6.0,14.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,32.0,M,B,49c5c84e-617f-43ed-9b92-34ebaa694a1d,26131b2f-5b87-405f-9da9-37d02ecdcbdb,1.0,1.0
1850.0,308249.0,7.0,14.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,25.0,M,B,17da17d9-8f2d-4a31-9f4e-95486e05394e,26131b2f-5b87-405f-9da9-37d02ecdcbdb,1.0,1.0
1850.0,308249.0,8.0,14.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,25.0,M,B,78cdd2e3-3adb-4ee2-a7df-c2df35336026,26131b2f-5b87-405f-9da9-37d02ecdcbdb,1.0,1.0
1850.0,308249.0,9.0,14.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,22.0,F,B,ca49edb5-7cfa-4a77-befe-1dc53aff3f7c,26131b2f-5b87-405f-9da9-37d02ecdcbdb,1.0,1.0
1850.0,308249.0,10.0,14.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,F,B,c8fc00a6-80ef-46f9-9737-17af9d75d856,26131b2f-5b87-405f-9da9-37d02ecdcbdb,1.0,1.0
1850.0,308249.0,11.0,14.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,F,B,1a68ea0e-186e-4d77-9bac-02a890642300,26131b2f-5b87-405f-9da9-37d02ecdcbdb,1.0,1.0
1850.0,308249.0,12.0,14.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,999.0,F,B,3da78f48-4d11-4efc-8355-00134656a943,26131b2f-5b87-405f-9da9-37d02ecdcbdb,1.0,1.0
1850.0,308249.0,13.0,14.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,M,B,2c1edce0-2036-4034-ba32-1d76a207c72c,26131b2f-5b87-405f-9da9-37d02ecdcbdb,1.0,1.0
1850.0,308249.0,14.0,14.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,F,B,a61883b5-498f-4ca9-a99c-1d2d0616f082,26131b2f-5b87-405f-9da9-37d02ecdcbdb,1.0,1.0
1850.0,308250.0,1.0,17.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,48.0,M,B,5b2d6775-1980-4cbc-a63e-7dbdf2a58762,,0.0,1.0
1850.0,308250.0,2.0,17.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,999.0,M,B,4abeb554-df31-406c-a14b-015f3c37bb57,,0.0,1.0
1850.0,308250.0,3.0,17.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,40.0,M,B,3130a46c-04c1-4755-819e-20dbad874dde,,0.0,1.0
1850.0,308250.0,4.0,17.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,40.0,M,B,9280def0-1d53-47c1-9d4c-d4c635302b4b,,0.0,1.0
1850.0,308250.0,5.0,17.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,33.0,M,B,9cf46586-a6c5-472b-b62e-c26da89802b6,,0.0,1.0
1850.0,308250.0,6.0,17.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,16.0,M,B,e220d3d9-fc05-4a51-9540-49671c481221,,0.0,1.0
1850.0,308250.0,7.0,17.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,40.0,F,B,d6dfee71-100c-4b6c-b3d0-76527813813b,,0.0,1.0
1850.0,308250.0,8.0,17.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,36.0,F,B,b495d832-e4ea-40d5-a40c-3423ee58b114,,0.0,1.0
1850.0,308250.0,9.0,17.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,75.0,F,B,d3ab33e9-6449-42b0-b255-a885c7ab9b04,,0.0,1.0
1850.0,308250.0,10.0,17.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,90.0,M,B,c7bcac59-b709-4102-b477-3a7c2069f3a2,,0.0,1.0
1850.0,308250.0,11.0,17.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,M,B,9350a5e2-6b9d-452b-ad4b-cd465e83730f,,0.0,1.0
1850.0,308250.0,12.0,17.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,M,B,9be094c4-67f8-4fbf-9c38-c0c569e4ae7e,,0.0,1.0
1850.0,308250.0,13.0,17.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,F,B,c145fb66-d642-4b35-a131-c76c4da6b06b,,0.0,1.0
1850.0,308250.0,14.0,17.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,F,B,9f5dc0c8-3377-4fb5-9f62-89b636453c73,,0.0,1.0
1850.0,308250.0,15.0,17.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,F,B,535e85ff-7ddd-4e29-a390-ed41c23e26ca,,0.0,1.0
1850.0,308250.0,16.0,17.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,M,B,f3cf99bc-2f98-439d-a0b7-b3465a4bbe57,,0.0,1.0
1850.0,308250.0,17.0,17.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,M,B,73ec5286-2d3a-4bf7-bff9-f5669b9a6736,,0.0,1.0
1850.0,308251.0,1.0,2.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,32.0,F,B,51a2381e-64dc-457f-86f8-d4f2018929d1,b43cdb78-3943-4220-8ac2-a1674e409c60,1.0,1.0
1850.0,308251.0,2.0,2.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,F,B,ce6b9688-2bd1-4274-9f60-94b498a6f947,b43cdb78-3943-4220-8ac2-a1674e409c60,1.0,1.0
1850.0,308252.0,1.0,10.0,51.0,40.0,150.0,400150.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,F,B,e2db1e30-072c-4cd1-8236-b152ecb0e495,,0.0,1.0
